Area(in^2),Density(pcf),Thickness(in),Weight(lbf),Fragility(G)
77.66666667,1.25,3,143.3333333,18.44345867
77.66666667,1.25,3,157.7777778,16.57943186
77.66666667,1.25,3,172.2222222,15.41415842
77.66666667,1.25,3,186.6666667,14.26520834
77.66666667,1.25,3,201.1111111,12.74193907
77.66666667,1.25,3,215.5555556,12.07596381
77.66666667,1.25,3,230,11.40998855
77.66666667,1.5,0.75,100,44.6097031
77.66666667,1.5,0.75,114.4444444,35.89582604
77.66666667,1.5,0.75,128.8888889,32.7658493
77.66666667,1.5,0.75,143.3333333,31.13991416
77.66666667,1.5,0.75,157.7777778,30.12610706
77.66666667,1.5,0.75,172.2222222,29.68580649
77.66666667,1.5,0.75,186.6666667,30.04788046
77.66666667,1.5,0.75,201.1111111,21.13710508
77.66666667,1.5,0.75,215.5555556,20.31287167
77.66666667,1.5,0.75,230,19.48863825
77.66666667,1.5,1,100,39.02580278
77.66666667,1.5,1,114.4444444,32.3757257
77.66666667,1.5,1,128.8888889,29.17383986
77.66666667,1.5,1,143.3333333,26.89608698
77.66666667,1.5,1,157.7777778,25.62074486
77.66666667,1.5,1,172.2222222,24.52093295
77.66666667,1.5,1,186.6666667,23.74674228
77.66666667,1.5,1,201.1111111,18.01162121
77.66666667,1.5,1,215.5555556,16.85038798
77.66666667,1.5,1,230,16.11892628
77.66666667,1.5,1.25,100,36.01443785
77.66666667,1.5,1.25,114.4444444,30.62169956
77.66666667,1.5,1.25,128.8888889,27.36922998
77.66666667,1.5,1.25,143.3333333,25.22571997
77.66666667,1.5,1.25,157.7777778,23.15475704
77.66666667,1.5,1.25,172.2222222,21.80497822
77.66666667,1.5,1.25,186.6666667,20.84594488
77.66666667,1.5,1.25,201.1111111,17.04271234
77.66666667,1.5,1.25,215.5555556,15.97235823
77.66666667,1.5,1.25,230,15.07391273
77.66666667,1.5,1.5,100,35.11161432
77.66666667,1.5,1.5,114.4444444,29.56309113
77.66666667,1.5,1.5,128.8888889,26.81337848
77.66666667,1.5,1.5,143.3333333,24.06366583
77.66666667,1.5,1.5,157.7777778,21.49532091
77.66666667,1.5,1.5,172.2222222,20.33408768
77.66666667,1.5,1.5,186.6666667,19.17285445
77.66666667,1.5,1.5,201.1111111,16.39677309
77.66666667,1.5,1.5,215.5555556,15.38700506
77.66666667,1.5,1.5,230,14.37723703
77.66666667,1.5,1.75,100,33.51229402
77.66666667,1.5,1.75,114.4444444,28.71138059
77.66666667,1.5,1.75,128.8888889,25.6192072
77.66666667,1.5,1.75,143.3333333,23.18691328
77.66666667,1.5,1.75,157.7777778,20.85825806
77.66666667,1.5,1.75,172.2222222,19.51218259
77.66666667,1.5,1.75,186.6666667,18.41586302
77.66666667,1.5,1.75,201.1111111,15.86593284
77.66666667,1.5,1.75,215.5555556,14.79707896
77.66666667,1.5,1.75,230,13.81401029
77.66666667,1.5,2,100,32.31280379
77.66666667,1.5,2,114.4444444,28.07259769
77.66666667,1.5,2,128.8888889,24.72357874
